epoch,train_loss,train_acc,val_loss,val_acc
1,1.3472306527898985,0.5112107623318386,1.5994781223503318,0.5405405405405406
2,0.7846578741822008,0.742152466367713,0.8313215042019749,0.7657657657657657
3,0.6036672573453108,0.8026905829596412,0.9259913982571782,0.6306306306306306
4,0.5281364698581097,0.8340807174887892,0.6847717480079548,0.7477477477477478
5,0.43137568395768583,0.8721973094170403,0.8098530661952388,0.7207207207207207
6,0.3333016070015227,0.899103139013453,0.7883601006086882,0.7297297297297297
7,0.250771396430084,0.9237668161434978,0.6067286971453074,0.7747747747747747
8,0.2284811907552283,0.9260089686098655,0.6775595443742769,0.7837837837837838
9,0.21488858011004103,0.9417040358744395,0.7621402968694498,0.7207207207207207
10,0.20588959359267367,0.9394618834080718,0.6216527935083922,0.7927927927927928
11,0.13613363031314626,0.9708520179372198,0.9660605562699808,0.6936936936936937
12,0.12482247464859966,0.968609865470852,0.6457343622370884,0.7657657657657657
13,0.1024878942512076,0.9708520179372198,0.7157797523446985,0.7747747747747747
14,0.06761159042873725,0.984304932735426,0.8239135258906597,0.7207207207207207
15,0.050614545848471165,0.9977578475336323,0.6803382048467258,0.7657657657657657
