id,class,n_points,min_x,min_y,min_z,max_x,max_y,max_z,centroid_x,centroid_y,centroid_z,volume,density,path
Buche_103,Buche,1024,-0.18046589195728302,-0.19792035222053528,-0.9790472984313965,0.41080495715141296,0.3717772960662842,0.9950909614562988,0.040167685598134995,0.08786650747060776,0.43214181065559387,0.6649798154830933,1539.8963640063066,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_103.npy
Buche_106,Buche,1024,-0.27950772643089294,-0.319519966840744,-0.6910450458526611,0.3330000638961792,0.37023070454597473,0.9983990788459778,-0.022872447967529297,-0.0022290442138910294,0.2120717167854309,0.7137524485588074,1434.671085286835,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_106.npy
Buche_107,Buche,1024,-0.27397894859313965,-0.36218762397766113,-0.7427284717559814,0.3389115631580353,0.4196232855319977,0.9904735684394836,-0.0230835173279047,0.06334128230810165,0.2725360691547394,0.8304888010025024,1233.0088000752155,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_107.npy
Buche_109,Buche,1024,-0.43686556816101074,-0.29415374994277954,-0.8670629858970642,0.3837610185146332,0.27647727727890015,0.9877047538757324,-0.019290784373879433,-0.010633460246026516,0.5150530934333801,0.868541419506073,1178.9881023547894,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_109.npy
Buche_110,Buche,1024,-0.3506143391132355,-0.18268227577209473,-0.7239363789558411,0.34006744623184204,0.25241923332214355,0.9967512488365173,-0.02816867269575596,0.038383692502975464,0.4527294933795929,0.5170953869819641,1980.2922744613777,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_110.npy
Buche_12,Buche,1024,-0.22926874458789825,-0.28923499584198,-0.5464166402816772,0.2510858178138733,0.241017147898674,0.9926535487174988,-0.004801727831363678,0.009013294242322445,0.17091742157936096,0.3920150697231293,2612.144478841659,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_12.npy
Buche_120,Buche,1024,-0.3580785095691681,-0.22772563993930817,-0.767804741859436,0.2555578052997589,0.18046197295188904,0.9813218116760254,-0.04406760260462761,-0.017271967604756355,0.27278435230255127,0.4381190240383148,2337.2644049130545,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_120.npy
Buche_121,Buche,1024,-0.3968977630138397,-0.38327935338020325,-0.7061699628829956,0.17114003002643585,0.206390842795372,0.990385115146637,-0.08246869593858719,-0.06954430043697357,0.5820635557174683,0.5682695508003235,1801.9617601503505,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_121.npy
Buche_125,Buche,1024,-0.2517399191856384,-0.24570558965206146,-0.5433331727981567,0.26156100630760193,0.19691219925880432,0.9856536984443665,0.005192020442336798,-0.018501194193959236,0.3776344060897827,0.3473798632621765,2947.781688851552,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_125.npy
Buche_133,Buche,1024,-0.30667704343795776,-0.37747201323509216,-0.989514172077179,0.36630651354789734,0.2857286334037781,0.801049530506134,0.022400030866265297,5.5372485803673044e-05,0.1910659372806549,0.7991699576377869,1281.3294471513584,D:\2025-01-30\Bureau\master\S2\TRAITEMENT DES DONNEES MULTIMEDIA\Projet-Image Processing Tree Species Classification\src\data\processed\sampled\Buche_133.npy
